t_unix,events,db_bytes,rss_bytes,loadavg1,wal_bytes,spool_files,daemon_cpu_s,gen_cpu_s,cpu_busy_jiffies,cpu_total_jiffies,read_bytes,write_bytes,syscr,syscw,cg_mem_current,cg_mem_file,cg_pgmajfault,cg_pgscan,cg_pgsteal,cg_mem_stall_us,mem_available_bytes,swap_used_bytes,count_ms
1785487909,3,835584,41074688,1.24,4120032,0,0.85,0.13,55356401,280325482,0,5843849,354,2744,35713024,1691648,176,0,0,0,10141798400,4775100416,58.3
1785487941,144003,123281408,237678592,1.83,27229112,14,21.31,13.89,55364630,280363997,0,650527540,59332,178722,374259712,152604672,2468,0,0,0,9862840320,4774359040,2341.5
1785487972,252003,219009024,264257536,1.98,43651432,21,40.17,22.11,55372770,280400677,0,1418472328,156636,422575,436432896,178278400,7173,0,0,0,9794695168,4773998592,871.5
1785488011,372003,381091840,617013248,2.40,55891952,22,66.07,27.66,55382980,280446164,0,2572608670,320186,819553,811757568,424083456,17491,0,0,0,9617043456,4773691392,8313.0
1785488044,468003,464486400,400179200,2.24,69636272,21,84.53,31.82,55391850,280485925,0,3588164143,522545,1235573,591974400,197419008,20245,0,0,0,9572622336,4773629952,3584.9
1785488075,528003,516681728,400289792,2.15,69636272,23,96.73,35.48,55399156,280521970,0,4300769686,704517,1559087,610107392,215973888,22959,0,0,0,9566875648,4773572608,399.7
1785488105,588003,569200640,431579136,2.33,87636552,23,112.37,38.31,55407406,280558073,0,5095409896,934039,1925234,658313216,232587264,25742,3712,3712,0,9509490688,4778106880,500.4
1785488137,648003,620929024,431616000,2.76,87636552,24,128.34,41.08,55415611,280596380,0,5919909263,1204311,2303144,659804160,232828928,28090,3712,3712,0,9601064960,4777938944,2378.8
1785488170,708003,673247232,431542272,3.09,87636552,23,142.83,43.91,55423936,280634592,0,6782742341,1432580,2705044,657063936,230686720,31155,3712,3712,0,9605898240,4777799680,2272.3
1785488203,768003,724787200,431742976,3.22,89745992,23,158.26,46.69,55432354,280673925,0,7705448465,1681599,3132326,666615808,239824896,34325,3712,3712,0,9718132736,4777455616,3222.8
1785488233,804003,756334592,593346560,2.94,148583712,25,172.01,49.73,55440014,280709550,0,8426351503,1976574,3459081,1007734784,561291264,36826,3712,3712,0,9641955328,4777078784,84.8
1785488267,852003,797966336,563228672,3.30,148583712,23,187.49,50.91,55448740,280749373,0,9224945149,2269906,3831884,815407104,308609024,40739,8704,8704,0,9384730624,4776218624,3614.0
1785488298,900003,839475200,641028096,3.50,148583712,24,203.31,53.35,55456789,280785881,0,10046320526,2519805,4211216,816574464,289533952,44624,8704,8704,0,9596321792,4776194048,889.7
1785488329,948003,881238016,580427776,3.51,148583712,23,217.85,55.81,55465115,280823077,0,10882081944,2765977,4602952,834560000,306696192,47617,8704,8704,0,9508347904,4776120320,1465.1
1785488362,996003,922341376,532209664,3.03,148583712,23,232.19,58.17,55473320,280862164,0,11779322434,3014157,5018579,783249408,255156224,50598,8704,8704,0,9591767040,4776079360,3061.4
1785488392,1032003,953389056,585138176,3.29,148583712,23,247.95,59.96,55481094,280898110,0,12476238634,3332538,5337046,847618048,319623168,56063,8704,8704,0,9395904512,4775931904,353.6
1785488426,1080003,994938880,532275200,3.29,148583712,23,262.77,62.39,55489704,280937837,0,13394935597,3597237,5763169,798842880,270872576,59148,8704,8704,0,9574162432,4775718912,3580.4
1785488457,1116003,1026285568,584040448,3.04,148583712,24,276.12,,55497313,280974987,0,14106105571,3885406,6089558,855834624,328273920,63291,8704,8704,0,9433022464,4775555072,1366.3
1785488491,1164003,1068105728,532275200,3.14,148583712,20,289.45,,55505587,281015212,0,15041674371,4172610,6534641,773697536,245309440,66392,8704,8704,0,9676926976,4775497728,3965.7
1785488533,1212003,1109610496,532336640,2.73,148583712,16,308.71,,55515644,281064648,0,16049343123,4639899,7008568,765452288,237445120,71394,8704,8704,0,9672040448,4774891520,11771.2
1785488565,1248003,1140707328,557142016,2.87,148583712,13,327.02,,55524024,281102843,0,16808965715,5233376,7363756,754491392,201936896,75596,8704,8704,0,9646440448,4774719488,2311.8
1785488602,1296003,1182543872,640253952,3.31,148583712,9,340.84,,55533597,281145987,0,17801074515,5505049,7835626,775573504,222969856,80307,37595,35714,473,9725997056,4795162624,6530.0
1785488634,1332003,1213886464,556773376,3.20,148583712,6,355.3,,55541482,281183360,0,18563168619,5969518,8196401,691101696,138240000,83443,65328,57460,492,9736884224,4796436480,1605.3
1785488677,1368003,1245712384,529133568,3.25,148583712,3,377.02,,55551976,281234520,0,19386755555,6672318,8581671,678301696,157560832,88050,108592,89552,492,9563152384,4795830272,13190.5
1785488710,1400003,1272455168,524931072,3.66,148583712,0,391.37,,55560460,281273628,0,20109726395,7148706,8924839,628162560,107765760,92505,160409,139489,492,9805234176,4856819712,2991.3
